,No_Die,process,Ox_Chamber,type,Temp_OXid,Vapor,ppm,Pressure,Oxid_time,thickness,process 2,photo_soft_Chamber,resist_target,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Process 2-1,lithography_Chamber,Line_CD,UV_type,Wavelength,Resolution,Energy_Exposure,Process 3,Etching_Chamber,Thin F4,Thin F3,Thin F2,Thin F1,Temp_Etching,Source_Power,Selectivity,process4,Chamber_Num,Flux60s,Flux90s,Flux160s,Flux480s,Flux840s,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,process4,Target,Error_message,Lot_Num,Wafer_Num,Datetime,path,short_path,Error
472,NOLSM111,Oxidation,1,wet,1138.979159,H2O,32.8,0.2,62,699.443,Photo,1,1.72027,13.891,15.025,20,198.792,90.001,504.589,4082.622,5184.62,5.044,90.894,30.009,photo_li,1,30.959,H,405,516.657,109.769,Etching,3,251,1606,3676,5756,70.878,50.851,1.047,Implantation,3,1.00E+16,1.35E+17,3.47E+17,3.00E+17,6.00E+17,31574.41,102.847,885,154,Inspect,96,none,1,1,17-02-2022,11133,1113,0
473,NOLSM212,Oxidation,1,wet,1218.184551,H2O,31.86,0.194,137,696.792,Photo,1,0.96161,14.722,15.059,19.995,198.747,89.998,492.196,3960.739,5065.197,5.058,92.334,29.997,photo_li,2,29.653,H,405,501.894,107.102,Etching,2,317,1574,3657,5680,69.561,52.283,1.051,Implantation,2,9.71E+15,1.39E+17,3.84E+17,3.02E+17,6.00E+17,31580.213,104.323,919,154,Inspect,102,none,1,2,17-02-2022,11222,1122,0
474,NOLSM313,Oxidation,1,dry,1062.467808,O2,39.51,0.217,128,705.471,Photo,1,1.48912,19.205,14.964,19.997,202.139,90,499.886,3981.691,4873.417,5.151,91.868,30.005,photo_li,3,28.063,I,365,506.75,110.471,Etching,1,411,1321,3644,5715,70.968,51.61,1.017,Implantation,1,1.76E+16,8.78E+16,6.01E+17,2.99E+17,6.00E+17,32162.414,100.605,916,155,Inspect,95,none,1,3,17-02-2022,11311,1131,0
475,NOLSM414,Oxidation,1,dry,1114.704773,O2,32.88,0.201,90,710.772,Photo,2,0.94868,16.368,14.944,19.998,199.649,90.001,505.249,3922.191,5131.972,5.069,91.881,29.997,photo_li,1,31.556,I,365,537.603,107.072,Etching,1,256,1628,3628,5737,70.146,51.286,1.027,Implantation,1,1.15E+16,9.78E+16,6.65E+16,2.99E+17,6.00E+17,32874.925,101.739,911,156,Inspect,117,none,1,4,17-02-2022,12111,1211,0
476,NOLSM515,Oxidation,1,wet,989.4119462,H2O,38.11,0.204,98,716.975,Photo,2,0.83591,13.926,14.933,20.002,204.544,90.001,501.089,4124.099,5108.355,5.055,91.212,30.001,photo_li,2,31.969,I,365,560.574,108.073,Etching,2,419,1598,3667,5720,71.174,51.996,1.05,Implantation,2,9.77E+15,1.22E+17,2.50E+17,3.01E+17,6.00E+17,30985.928,106.422,872,155,Inspect,143,none,1,5,17-02-2022,12222,1222,0
477,NOLSM616,Oxidation,1,wet,979.1097026,H2O,39.93,0.204,132,698.725,Photo,2,1.36943,11.919,15.132,20.007,201.962,90,500.748,4001.361,5030.912,5.008,91.85,29.999,photo_li,3,51.096,H,405,500.892,106.951,Etching,3,359,1323,3644,5707,71.709,51.931,1.012,Implantation,3,1.18E+16,9.34E+16,4.46E+17,3.00E+17,6.00E+17,31997.243,103.466,924,149,Inspect,49,none,1,6,17-02-2022,12333,1233,0
478,NOLSM717,Oxidation,1,dry,1136.114954,O2,35.63,0.2,74,709.703,Photo,3,1.92633,16.358,15.083,19.997,205.548,90.001,505.27,4054.534,4965.192,5.192,92.193,30.003,photo_li,2,24.552,I,365,516.947,108.505,Etching,2,151,1389,3679,5700,71.354,51.446,1.034,Implantation,2,1.45E+16,8.04E+16,3.24E+17,3.00E+17,6.00E+17,31464.087,100.054,882,154,Inspect,97,none,1,7,17-02-2022,13222,1322,0
479,NOLSM818,Oxidation,1,wet,1096.241849,H2O,28.6,0.199,291,696.438,Photo,3,1.41846,12.465,14.91,19.998,202.558,89.999,501.967,3957.086,5075.265,4.965,92.359,30.01,photo_li,3,33.839,G,436,492.095,106.183,Etching,1,316,1521,3653,5737,70.761,51.053,1.022,Implantation,1,1.29E+16,9.88E+16,2.29E+17,3.02E+17,6.00E+17,31776.157,104.328,885,153,Inspect,92,none,1,8,17-02-2022,13311,1331,0
480,NOLSM919,Oxidation,2,dry,1042.243992,O2,34.58,0.203,61,712.977,Photo,1,0.67979,13.463,15.016,19.998,202.294,90,498.37,4087.957,5099.904,5.087,92.549,29.997,photo_li,1,61.905,H,405,506.182,108.96,Etching,1,294,1425,3654,5717,71.716,51.209,1.039,Implantation,1,1.71E+16,1.37E+17,1.27E+18,3.00E+17,6.00E+17,31692.407,104.575,906,156,Inspect,86,none,1,9,17-02-2022,21111,2111,0
481,NOLSM10110,Oxidation,2,wet,1104.836285,H2O,34.95,0.204,117,725.873,Photo,1,0.73422,11.535,15.198,20.002,200.821,90.002,499.082,4025.484,5049.864,4.923,91.49,29.999,photo_li,2,41.35,H,405,499.553,109.605,Etching,2,466,1603,3643,5703,69.948,50.944,1.024,Implantation,2,8.35E+15,2.65E+16,4.67E+17,3.01E+17,6.00E+17,32927.629,106.633,898,158,Inspect,102,none,1,10,17-02-2022,21222,2122,0
482,NOLSM11111,Oxidation,2,dry,1077.751749,O2,32.59,0.189,87,689.049,Photo,1,1.09607,18.638,15.012,20.001,201.924,90.002,500.257,4036.876,5087.298,4.975,92.318,29.988,photo_li,3,54.613,G,436,525.22,107.543,Etching,3,223,1393,3667,5688,70.61,51.473,1.048,Implantation,3,1.74E+16,2.39E+16,9.60E+17,2.99E+17,6.00E+17,31691.366,105.291,891,156,Inspect,72,none,1,11,17-02-2022,21333,2133,0
483,NOLSM12112,Oxidation,2,wet,1113.712029,H2O,38.02,0.218,80,708.738,Photo,2,2.19916,12.013,14.981,20.001,200.521,90.001,501.499,4014.071,4947.437,5.024,93.669,30.001,photo_li,1,31.272,G,436,488.636,111.101,Etching,3,562,1377,3664,5730,71.067,51.129,1.043,Implantation,3,1.37E+16,8.91E+16,7.44E+17,3.00E+17,6.00E+17,31201.151,105.485,906,153,Inspect,215,[['Loc']],1,12,17-02-2022,22133,2213,1
484,NOLSM13113,Oxidation,2,dry,1193.96599,O2,33.81,0.202,149,716.118,Photo,2,0.62819,15.182,15.034,19.994,199.034,90,501.61,3985.686,5137.647,5.013,91.66,30,photo_li,2,23.663,H,405,478.444,107.19,Etching,2,416,1597,3655,5728,69.934,51.099,1.023,Implantation,2,1.38E+16,1.22E+17,7.80E+17,3.03E+17,6.00E+17,31655.39,104.646,898,151,Inspect,89,none,1,13,17-02-2022,22222,2222,0
485,NOLSM14114,Oxidation,2,dry,1098.177968,O2,29.05,0.216,149,703.595,Photo,2,1.01327,18.211,15.006,20.001,197.707,90,503.158,4047.541,4947.636,5.028,94.355,29.997,photo_li,3,27.333,G,436,516.803,110.24,Etching,1,365,1484,3674,5733,72.593,50.252,1.024,Implantation,1,1.26E+16,1.11E+17,6.00E+17,3.03E+17,6.00E+17,30953.889,104.291,897,152,Inspect,104,none,1,14,17-02-2022,22311,2231,0
486,NOLSM15115,Oxidation,2,dry,1013.703486,O2,49.91,0.209,101,721.105,Photo,3,0.82107,15.836,14.925,19.993,194.126,90,501.085,3955.393,4983.697,5.032,92.48,30.003,photo_li,1,16.467,H,405,529.182,109.976,Etching,1,556,1619,3633,5744,71.754,52.645,1.038,Implantation,1,7.25E+15,9.58E+16,2.29E+17,3.01E+17,6.00E+17,31211.391,102.585,899,151,Inspect,116,none,1,15,17-02-2022,23111,2311,0
487,NOLSM16116,Oxidation,2,dry,1102.425583,O2,32.47,0.203,112,703.686,Photo,3,2.17388,15.931,15.1,20.004,199.703,90,503.226,4062.804,4931.418,5.053,94.036,30.003,photo_li,2,43.554,H,405,472.687,110.358,Etching,2,447,1490,3664,5732,71.441,51.015,1.027,Implantation,2,9.52E+15,4.84E+16,9.96E+17,2.99E+17,6.00E+17,31603.462,106.007,910,156,Inspect,124,none,1,16,17-02-2022,23222,2322,0
488,NOLSM17117,Oxidation,2,dry,1100.646875,O2,32.82,0.205,101,702.403,Photo,3,1.91871,13.723,14.879,19.998,198.575,90,499.06,4071.633,5053.274,5.102,93.318,29.996,photo_li,3,41.893,I,365,561.777,107.42,Etching,3,248,1576,3662,5700,71.163,50.547,1.009,Implantation,3,1.29E+16,5.54E+16,5.80E+17,3.00E+17,6.00E+17,31197.908,103.454,910,155,Inspect,71,none,1,17,17-02-2022,23333,2333,0
489,NOLSM18118,Oxidation,3,wet,996.1626408,H2O,36.66,0.194,148,707.175,Photo,1,1.70572,13.934,14.899,20.001,198.429,90,501.252,3985.677,4979.438,4.925,90.195,30.007,photo_li,1,30.437,I,365,523.658,108.685,Etching,3,417,1607,3633,5704,70.345,50.843,1.015,Implantation,3,8.41E+15,1.66E+17,9.85E+17,3.00E+17,6.00E+17,31359.595,103.046,894,156,Inspect,83,none,1,18,17-02-2022,31133,3113,0
490,NOLSM19119,Oxidation,3,wet,1017.293112,H2O,35.44,0.203,157,719.64,Photo,1,1.91149,13.286,15.074,19.991,202.801,90.001,499.644,3978.724,4940.786,5.052,91.503,30.008,photo_li,2,61.431,H,405,514.519,106.424,Etching,2,227,1418,3668,5701,69.832,51.609,1.011,Implantation,2,1.30E+16,1.00E+17,7.40E+17,3.02E+17,6.00E+17,32409.504,106.244,899,154,Inspect,95,none,1,19,17-02-2022,31222,3122,0
491,NOLSM20120,Oxidation,3,dry,1037.438376,O2,36.74,0.205,147,709.838,Photo,1,2.10876,15.243,14.939,20.002,202.168,90.001,500.85,4056.014,4959.075,5.063,90.706,30.012,photo_li,3,47.652,H,405,534.147,109.963,Etching,1,185,1630,3637,5728,71.606,51.027,1.024,Implantation,1,1.23E+16,9.30E+16,2.59E+17,3.03E+17,6.00E+17,32922.767,104.804,923,152,Inspect,92,none,1,20,17-02-2022,31311,3131,0
492,NOLSM21121,Oxidation,3,dry,1000.063674,O2,25.53,0.203,56,715.592,Photo,2,1.00451,16.26,14.995,19.999,200.039,90,503.25,4029.12,4990.186,4.937,90.313,30.005,photo_li,1,28.492,I,365,499.558,109.557,Etching,1,660,1511,3679,5732,71.068,50.653,1.029,Implantation,1,1.42E+16,1.87E+16,2.19E+17,3.01E+17,6.00E+17,30786.77,101.334,920,154,Inspect,255,[['Edge-Loc']],1,21,17-02-2022,32111,3211,1
493,NOLSM22122,Oxidation,3,dry,1080.085993,O2,42.37,0.212,84,698.922,Photo,2,1.48013,14.621,15.052,19.999,202.913,90,498.172,3971.194,5038.728,5.017,91.22,29.982,photo_li,2,38.292,G,436,537.389,107.999,Etching,2,394,1562,3663,5733,69.362,51.252,1.026,Implantation,2,9.74E+15,1.41E+17,3.60E+17,3.00E+17,6.00E+17,30857.277,101.933,897,154,Inspect,99,none,1,22,17-02-2022,32222,3222,0
494,NOLSM23123,Oxidation,3,dry,1068.506643,O2,31.47,0.212,117,708.278,Photo,2,1.33905,16.852,15.041,20.003,197.898,90.001,499.885,4035.394,5098.559,4.993,90.621,30.004,photo_li,3,52.821,I,365,532.275,109.351,Etching,3,423,1526,3655,5688,72.506,50.769,1.044,Implantation,3,1.26E+16,3.11E+16,7.90E+17,3.02E+17,6.00E+17,32295.6,100.745,884,155,Inspect,117,none,1,23,17-02-2022,32333,3233,0
495,NOLSM24124,Oxidation,3,dry,1067.237334,O2,37.17,0.205,137,704.101,Photo,3,1.12362,17.92,14.929,20,200.741,90.001,501.31,3952.67,5052.23,5.035,90.441,30.004,photo_li,1,37.522,H,405,514.823,108.116,Etching,3,355,1523,3661,5688,71.744,50.936,1.06,Implantation,3,5.21E+15,4.09E+16,6.66E+17,3.01E+17,6.00E+17,31614.158,104.38,917,155,Inspect,130,none,1,24,17-02-2022,33133,3313,0
496,NOLSM25125,Oxidation,3,wet,1035.356914,H2O,35.36,0.21,125,715.292,Photo,3,1.62494,20.149,14.995,19.994,200.56,90.001,500.285,3972.34,5047.799,5.008,91.096,29.994,photo_li,2,27.664,G,436,494.166,111.283,Etching,2,358,1437,3646,5702,71.199,51.446,1.024,Implantation,2,1.77E+16,1.31E+17,9.92E+17,3.01E+17,6.00E+17,30534.747,100.517,915,156,Inspect,70,none,1,25,17-02-2022,33222,3322,0
497,NOLSM26126,Oxidation,3,dry,1104.129739,O2,39.02,0.206,204,696.973,Photo,3,1.18246,17.655,15.036,20.005,198.828,90,504.606,4017.144,5018.69,4.909,90.377,30.013,photo_li,3,49.36,G,436,533.105,106.293,Etching,1,210,1671,3637,5710,71.553,50.168,1.011,Implantation,1,2.05E+16,1.43E+17,5.00E+17,3.00E+17,6.00E+17,32268.828,102.998,898,159,Inspect,90,none,1,26,17-02-2022,33311,3331,0
498,NOLSM27127,Oxidation,1,wet,956.156908,H2O,33.41,0.218,144,713.383,Photo,1,1.22609,19.821,14.96,19.998,198.925,90.001,503.84,4072.913,5016.378,5.104,88.887,29.992,photo_li,1,40.752,G,436,518.976,109.532,Etching,1,353,1576,3655,5704,69.65,51.216,1.053,Implantation,1,1.01E+16,2.13E+16,7.53E+17,3.02E+17,6.00E+17,31093.054,101.814,903,156,Inspect,146,none,1,27,17-02-2022,11111,1111,0
499,NOLSM541211,Oxidation,3,dry,872.3819847,O2,22.16,0.216,223,712.87,Photo,1,1.00154,16.862,14.931,19.998,204.702,89.999,504.702,4094.047,5117.559,5.107,93.529,29.988,photo_li,2,47.83,G,436,548.32,110.53,Etching,2,205,1491,3641,5683,71.287,51.867,1.047,Implantation,2,1.96E+16,1.65E+17,2.11E+17,3.00E+17,6.00E+17,32302.213,104.667,934,157,Inspect,120,none,21,1,17-02-2022,31222,3122,0
500,NOLSM542212,Oxidation,3,dry,871.8900241,O2,22.17,0.219,226,716.026,Photo,1,0.93292,16.674,14.908,19.998,204.234,90,504.234,4084.68,5105.85,5.116,93.645,30.001,photo_li,3,37.494,G,436,541.911,109.924,Etching,3,215,1406,3643,5703,71.603,52.199,1.055,Implantation,3,1.31E+16,1.30E+17,6.30E+17,3.01E+17,6.00E+17,32301.804,105.498,933,158,Inspect,111,none,21,2,17-02-2022,31333,3133,0
501,NOLSM543213,Oxidation,3,dry,871.7859734,O2,22.17,0.219,226,715.157,Photo,2,0.99309,16.873,14.917,19.998,204.556,89.998,504.556,4091.123,5113.904,5.102,93.474,29.994,photo_li,1,45.14,G,436,542.695,109.945,Etching,3,174,1448,3637,5706,71.516,51.977,1.049,Implantation,3,2.13E+16,1.54E+17,1.02E+12,3.01E+17,6.00E+17,32300.133,104.943,931,157,Inspect,54,none,21,3,17-02-2022,32133,3213,0
502,NOLSM544214,Oxidation,3,dry,871.956216,O2,22.16,0.217,224,713.608,Photo,2,1.0494,16.78,14.912,20.001,204.212,89.999,504.212,4084.234,5105.292,5.098,93.241,30,photo_li,2,39.937,G,436,547.454,109.814,Etching,2,204,1377,3642,5696,71.361,52.042,1.051,Implantation,2,1.35E+16,1.07E+17,1.03E+16,2.99E+17,6.00E+17,32300.191,105.104,928,158,Inspect,114,none,21,4,17-02-2022,32222,3222,0
503,NOLSM545215,Oxidation,3,dry,872.1269792,O2,22.16,0.216,223,712.692,Photo,2,0.93368,16.36,14.966,19.999,204.238,90.001,504.238,4084.761,5105.951,5.121,94.516,29.999,photo_li,3,45.357,G,436,532.047,111.247,Etching,1,277,1456,3639,5706,71.269,52.165,1.054,Implantation,1,5.85E+15,3.49E+16,2.28E+16,2.98E+17,6.00E+17,32299.577,105.413,938,158,Inspect,117,none,21,5,17-02-2022,32311,3231,0
504,NOLSM546216,Oxidation,3,dry,872.0913097,O2,22.17,0.218,225,714.415,Photo,3,0.51565,16.591,15.14,20.001,206.204,89.999,506.204,4124.072,5155.091,5.163,94.396,29.99,photo_li,1,54.056,G,436,537.644,111.176,Etching,1,235,1420,3643,5722,71.441,52.573,1.064,Implantation,1,1.85E+16,2.20E+15,27458226884,3.02E+17,6.00E+17,32299.568,106.433,938,160,Inspect,141,none,21,6,17-02-2022,33111,3311,0
505,NOLSM547217,Oxidation,3,dry,872.08619,O2,22.17,0.219,226,715.404,Photo,3,0.49182,16.869,14.947,20.004,206.338,90.001,506.338,4126.758,5158.447,5.146,93.776,29.996,photo_li,2,42.706,G,436,542.278,110.133,Etching,2,204,1393,3638,5706,71.54,52.562,1.064,Implantation,2,1.56E+16,4.39E+13,1.09E+14,3.01E+17,6.00E+17,32299.833,106.404,932,160,Inspect,60,none,21,7,17-02-2022,33222,3322,0
506,NOLSM548218,Oxidation,3,dry,871.5259247,O2,22.2,0.217,224,713.132,Photo,3,0.97399,17.701,15.056,20.001,205.604,90,505.604,4112.073,5140.092,5.132,94.389,30.001,photo_li,3,48.753,G,436,546.736,111.052,Etching,3,267,1410,3640,5690,71.313,52.23,1.056,Implantation,3,1.68E+16,1.43E+16,9.81E+13,3.01E+17,6.00E+17,32300.763,105.575,937,158,Inspect,120,none,21,8,17-02-2022,33333,3333,0
507,NOLSM549219,Oxidation,1,dry,872.2034211,O2,22.18,0.218,225,714.295,Photo,1,0.95345,15.958,15.076,19.997,206.116,90,506.116,4122.317,5152.896,5.115,93.043,30.007,photo_li,1,31.512,G,436,544.737,108.828,Etching,3,144,1471,3640,5685,71.43,52.225,1.056,Implantation,3,1.43E+16,1.07E+17,5.71E+17,2.99E+17,6.00E+17,32302.167,105.563,922,158,Inspect,69,none,21,9,17-02-2022,11133,1113,0
508,NOLSM5502110,Oxidation,1,dry,871.9966538,O2,22.15,0.213,220,710.114,Photo,1,1.02764,15.916,15.084,19.997,203.642,90,503.642,4072.835,5091.044,5.104,93.541,30,photo_li,2,39.583,G,436,547.376,109.784,Etching,2,183,1417,3637,5700,71.011,51.705,1.043,Implantation,2,1.68E+16,1.64E+17,7.77E+17,3.00E+17,6.00E+17,32302.291,104.263,929,156,Inspect,99,none,21,10,17-02-2022,11222,1122,0
509,NOLSM5512111,Oxidation,1,dry,871.9976645,O2,22.15,0.214,221,710.617,Photo,1,0.78214,16.247,15.101,20.002,204.42,90.001,504.42,4088.407,5110.509,5.114,93.317,30.001,photo_li,3,34.607,G,436,543.418,109.532,Etching,1,227,1418,3639,5726,71.062,51.891,1.047,Implantation,1,1.46E+16,2.27E+15,5.92E+16,3.00E+17,6.00E+17,32297.831,104.728,927,157,Inspect,108,none,21,11,17-02-2022,11311,1131,0
510,NOLSM5522112,Oxidation,1,dry,871.7516145,O2,22.13,0.215,222,711.632,Photo,2,1.05805,16.739,14.964,19.997,204.484,89.999,504.484,4089.681,5112.101,5.094,93.186,29.997,photo_li,1,36.939,G,436,545.707,109.167,Etching,1,270,1476,3643,5686,71.163,51.853,1.046,Implantation,1,1.43E+16,1.12E+17,5.20E+17,2.99E+17,6.00E+17,32301.493,104.633,924,157,Inspect,129,none,21,12,17-02-2022,12111,1211,0
511,NOLSM5532113,Oxidation,1,dry,871.6678231,O2,22.1,0.213,220,710.084,Photo,2,0.64519,15.99,15.121,19.998,203.145,89.999,503.145,4062.91,5078.637,5.085,93.017,29.991,photo_li,3,32.311,G,436,542.1,109.241,Etching,3,193,1368,3634,5715,71.008,51.72,1.043,Implantation,3,1.03E+16,1.03E+17,5.83E+17,3.00E+17,6.00E+17,32300.641,104.301,923,156,Inspect,57,none,21,13,17-02-2022,12333,1233,0
512,NOLSM5542114,Oxidation,1,dry,871.4514757,O2,22.1,0.213,220,710.093,Photo,3,0.97209,17.012,15.063,19.998,203.558,90.001,503.558,4071.152,5088.94,5.09,93.152,30.005,photo_li,1,40.276,G,436,544.474,109.461,Etching,3,184,1425,3633,5681,71.009,51.837,1.046,Implantation,3,1.78E+16,1.35E+17,3.21E+16,3.00E+17,6.00E+17,32301.962,104.592,924,157,Inspect,54,none,21,14,17-02-2022,13133,1313,0
513,NOLSM5552115,Oxidation,1,dry,871.6029767,O2,22.1,0.213,220,709.915,Photo,3,0.96194,16.115,15.001,20,204.024,90.001,504.024,4080.471,5100.588,5.096,92.998,30.001,photo_li,2,30.716,G,436,540.64,109.151,Etching,2,138,1398,3633,5722,70.991,51.915,1.048,Implantation,2,4.87E+15,1.45E+16,2.92E+17,3.02E+17,6.00E+17,32296.959,104.787,923,157,Inspect,48,none,21,15,17-02-2022,13222,1322,0
514,NOLSM5562116,Oxidation,1,dry,871.05709,O2,22.11,0.214,221,710.547,Photo,3,0.62784,16.257,15.037,19.998,203.303,90.001,503.303,4066.052,5082.565,5.079,93.43,29.995,photo_li,3,37.029,G,436,539.235,109.942,Etching,1,218,1408,3635,5711,71.055,51.75,1.044,Implantation,1,1.17E+16,1.16E+17,9.43E+16,3.02E+17,6.00E+17,32299.553,104.375,929,157,Inspect,69,none,21,16,17-02-2022,13311,1331,0
515,NOLSM5572117,Oxidation,2,dry,871.8284764,O2,22.09,0.214,221,711.029,Photo,1,0.98943,16.974,15.023,20.001,204.032,89.999,504.032,4080.631,5100.789,5.092,92.562,30.004,photo_li,1,30.263,G,436,554.023,108.49,Etching,1,212,1454,3637,5705,71.103,51.863,1.047,Implantation,1,7.56E+15,2.93E+16,8.94E+14,2.99E+17,6.00E+17,32300,104.659,918,157,Inspect,66,none,21,17,17-02-2022,21111,2111,0
516,NOLSM5582118,Oxidation,2,dry,871.7135322,O2,22.09,0.212,219,709.076,Photo,1,0.92361,16.545,14.966,19.998,202.483,90,502.483,4049.67,5062.087,5.057,92.632,30.005,photo_li,2,29.346,G,436,548.455,108.904,Etching,2,245,1405,3636,5711,70.908,51.506,1.038,Implantation,2,1.54E+16,1.36E+17,1.89E+17,3.00E+17,6.00E+17,32299.332,103.766,921,156,Inspect,75,none,21,18,17-02-2022,21222,2122,0
517,NOLSM5592119,Oxidation,2,dry,871.6839399,O2,22.09,0.214,221,710.146,Photo,1,0.49806,16.691,14.971,20.001,202.787,90,502.787,4055.738,5069.673,5.07,92.741,29.996,photo_li,3,30.558,G,436,544.367,108.869,Etching,3,161,1371,3633,5688,71.015,51.631,1.041,Implantation,3,5.27E+15,4.07E+16,1.09E+17,3.00E+17,6.00E+17,32302.041,104.078,921,156,Inspect,36,none,21,19,17-02-2022,21333,2133,0
518,NOLSM5602120,Oxidation,2,dry,871.3102963,O2,22.1,0.213,220,709.957,Photo,2,0.58744,16.145,15.028,20.001,202.29,89.999,502.29,4045.794,5057.243,5.058,92.721,30.004,photo_li,2,30.501,G,436,558.871,108.776,Etching,2,211,1384,3635,5691,70.996,51.48,1.037,Implantation,2,6.88E+15,5.42E+16,6.58E+16,3.00E+17,6.00E+17,32305.414,103.699,921,156,Inspect,63,none,21,20,17-02-2022,22222,2222,0
519,NOLSM5612121,Oxidation,2,dry,871.5861457,O2,22.11,0.213,220,709.783,Photo,2,0.89305,16.416,15.048,19.999,202.273,90.001,502.273,4045.461,5056.827,5.059,92.488,30.006,photo_li,3,31.024,G,436,552.429,108.708,Etching,1,193,1413,3634,5683,70.978,51.567,1.039,Implantation,1,1.62E+16,1.40E+17,2.96E+16,2.99E+17,6.00E+17,32299.686,103.919,920,156,Inspect,48,none,21,21,17-02-2022,22311,2231,0
520,NOLSM5622122,Oxidation,2,dry,871.636985,O2,22.08,0.213,220,709.973,Photo,3,1.22993,16.007,14.993,19.998,201.875,90.001,501.875,4037.5,5046.876,5.048,92.217,30.002,photo_li,1,22.161,G,436,546.001,108.235,Etching,1,274,1409,3644,5689,70.997,51.454,1.036,Implantation,1,7.51E+15,5.46E+16,1.32E+17,2.99E+17,6.00E+17,32300.601,103.634,916,155,Inspect,144,none,21,22,17-02-2022,23111,2311,0
521,NOLSM5632123,Oxidation,2,dry,871.509909,O2,22.09,0.213,220,709.984,Photo,3,0.5355,16.745,15.044,20.004,202.105,90,502.105,4042.1,5052.626,5.06,92.618,30.002,photo_li,2,26.662,G,436,551.305,108.609,Etching,2,233,1466,3645,5721,70.998,51.395,1.035,Implantation,2,5.25E+15,2.15E+15,2.27E+12,3.00E+17,6.00E+17,32299.226,103.488,919,155,Inspect,159,none,21,23,17-02-2022,23222,2322,0
522,NOLSM5642124,Oxidation,2,dry,871.2371173,O2,22.09,0.213,220,709.983,Photo,3,0.73244,16.452,14.994,20,202.625,90,502.625,4052.501,5065.626,5.059,92.545,30.005,photo_li,3,30.218,G,436,555.997,108.305,Etching,3,243,1394,3639,5694,70.998,51.442,1.036,Implantation,3,1.75E+16,1.55E+17,1.04E+18,3.01E+17,6.00E+17,32298.267,103.604,918,155,Inspect,96,none,21,24,17-02-2022,23333,2333,0
523,NOLSM5652125,Oxidation,3,dry,871.5810826,O2,22.09,0.214,221,710.137,Photo,1,1.04672,17.44,14.966,20.006,202.201,90.001,502.201,4044.028,5055.035,5.043,92.821,30,photo_li,1,31.786,G,436,551.176,108.66,Etching,3,184,1420,3635,5698,71.014,51.3,1.032,Implantation,3,9.73E+15,5.09E+14,6.02E+15,3.00E+17,6.00E+17,32299.142,103.249,920,155,Inspect,57,none,21,25,17-02-2022,31133,3113,0
524,NOLSM5662126,Oxidation,3,dry,871.5927565,O2,22.09,0.214,221,710.837,Photo,1,0.80707,16.962,15.041,19.997,202.941,89.999,502.941,4058.827,5073.534,5.057,92.55,30.003,photo_li,2,25.02,G,436,550.435,108.473,Etching,2,219,1519,3643,5723,71.084,51.438,1.036,Implantation,2,2.07E+16,1.22E+17,4.11E+17,3.00E+17,6.00E+17,32301.724,103.595,918,155,Inspect,126,none,21,26,17-02-2022,31222,3122,0
525,NOLSM5672127,Oxidation,3,dry,871.46516,O2,22.1,0.214,221,710.727,Photo,1,0.87883,16.655,14.823,20.005,202.059,90,502.059,4041.184,5051.48,5.062,92.812,30.013,photo_li,3,34.196,G,436,563.401,108.962,Etching,1,217,1382,3641,5726,71.073,51.277,1.032,Implantation,1,1.08E+16,1.53E+16,6.89E+15,3.01E+17,6.00E+17,32202.644,103.192,924,155,Inspect,117,none,21,27,17-02-2022,31311,3131,0
526,NOLSM282128,Oxidation,1,dry,1060.630568,O2,32.41,0.209,114,707.44,Photo,2,1.36943,16.921,15.102,19.995,198.225,90,502.749,4084.939,4933.829,5.061,90.515,30.011,photo_li,1,43.579,H,405,472.853,106.798,Etching,1,402,1399,3648,5735,70.341,51.052,1.06,Implantation,1,5.93E+15,9.22E+16,1.20E+17,3.00E+17,6.00E+17,31490.992,105.795,890,154,Inspect,91,none,2,28,18-02-2022,12111,1211,0
527,NOLSM292229,Oxidation,1,wet,1245.670439,H2O,37.48,0.204,106,707.18,Photo,2,1.92633,13.908,14.999,19.995,199.62,89.999,502.125,4045.078,5009.51,4.92,89.336,29.991,photo_li,1,44.797,G,436,534.455,109.373,Etching,2,288,1457,3669,5712,71.972,52.479,1.042,Implantation,2,1.12E+16,9.48E+16,5.56E+17,3.01E+17,6.00E+17,32725.266,103.911,911,156,Inspect,109,none,2,29,18-02-2022,12122,1212,0
528,NOLSM302330,Oxidation,1,wet,1104.127758,H2O,32.84,0.206,165,714.239,Photo,2,1.41846,14.435,15.059,20,199.343,90,499.319,4010.176,5055.398,5.096,92.718,30.011,photo_li,1,42.474,G,436,541.607,107.068,Etching,3,475,1425,3642,5712,71.448,51.337,1.016,Implantation,3,7.3E+15,6.26E+16,8.16E+17,3.01E+17,6.00E+17,31538.328,103.924,896,152,Inspect,93,none,2,30,18-02-2022,12133,1213,0
