,No_Die,process,type,Temp_OXid,ppm,Pressure,Oxid_time,process 2,N2_HMDS,pressure_HMDS,temp_HMDS,temp_HMDS_bake,time_HMDS_bake,spin1,spin2,spin3,photoresist_bake,temp_softbake,time_softbake,Process 2-1,Wavelength,Energy_Exposure,Process 3,Temp_Etching,Source_Power,process4,input_Energy,Temp_implantation,Furance_Temp,RTA_Temp,process4,Target,Lot_Num,Wafer_Num,Datetime,path,short_path
240,NOLSM4431711,Oxidation,dry,1210.241046,33.7,0.221,179,Photo,18.142,14.957,19.992,202.881,90.001,499.957,4016.163,5029.467,5.079,91.46,29.99,photo_li,405,108.551,Etching,70.799,51.133,Implantation,31549.184,104.859,881,154,Inspect,113,17,11,05-03-2022,32133,3213
241,NOLSM4441712,Oxidation,dry,1108.356271,40.49,0.196,94,Photo,16.95,15.094,19.996,198.198,90,504.215,4083.532,4924.46,5.044,91.015,29.987,photo_li,436,109.461,Etching,70.839,51.372,Implantation,32087.646,103.005,895,157,Inspect,68,17,12,05-03-2022,32222,3222
242,NOLSM4451713,Oxidation,dry,1190.956727,36.9,0.204,117,Photo,13.632,14.864,20.002,202.677,89.999,498.549,4059.913,5099.399,5.068,93.648,29.994,photo_li,405,108.97,Etching,72.306,50.665,Implantation,31501.258,102.754,910,153,Inspect,123,17,13,05-03-2022,32311,3231
243,NOLSM4461714,Oxidation,dry,1188.90217,35.37,0.198,127,Photo,14.671,15.045,20.002,202.968,89.999,499.547,3974.205,5006.987,5.031,93.313,29.999,photo_li,436,109.052,Etching,71.503,50.367,Implantation,30658.962,103.386,922,153,Inspect,77,17,14,05-03-2022,33111,3311
244,NOLSM4471715,Oxidation,wet,1011.74933,34.45,0.194,101,Photo,15.119,14.96,20.003,201.552,90,505.956,3996.603,4998.346,5.078,92.774,30.003,photo_li,405,107.348,Etching,72.064,51.406,Implantation,31542.357,100.201,905,151,Inspect,42,17,15,05-03-2022,33222,3322
245,NOLSM4481716,Oxidation,dry,1259.826425,37.72,0.206,145,Photo,18.168,15.036,20,199.473,90,495.122,4094.644,4910.619,5.008,90.088,29.987,photo_li,365,108.243,Etching,71.033,50.453,Implantation,31487.108,102.624,885,154,Inspect,89,17,16,05-03-2022,33333,3333
246,NOLSM4491717,Oxidation,dry,1132.417473,34.57,0.198,103,Photo,15.812,14.892,19.995,194.278,90,498.447,3966.849,5018.378,5.102,94.13,30.004,photo_li,436,108.924,Etching,71.134,50.369,Implantation,31179.148,103.458,904,153,Inspect,78,17,17,05-03-2022,11133,1113
247,NOLSM4501718,Oxidation,wet,1130.180832,33.18,0.18,129,Photo,14.143,15.04,19.994,197.191,90,501.545,3961.776,4985.679,5.1,89.636,30.002,photo_li,405,108.359,Etching,70.685,50.708,Implantation,32292.179,100.414,904,158,Inspect,69,17,18,05-03-2022,11311,1131
248,NOLSM4511719,Oxidation,dry,1081.355736,35.95,0.217,133,Photo,11.261,15.056,19.99,197.239,90.001,500.965,4053.747,4980.595,4.918,91.353,29.997,photo_li,365,105.207,Etching,68.15,50.463,Implantation,31684.211,101.7,905,156,Inspect,122,17,19,05-03-2022,12111,1211
249,NOLSM4521720,Oxidation,dry,1181.756344,35.61,0.195,146,Photo,17.393,15.062,19.998,202.38,89.999,501.146,4135.827,5099.437,4.922,92.542,30.004,photo_li,436,109.531,Etching,73.081,51.389,Implantation,31473.404,102.852,903,155,Inspect,161,17,20,05-03-2022,12333,1233
250,NOLSM4531721,Oxidation,dry,862.0112757,29.07,0.195,56,Photo,13.311,15.06,19.996,202.275,89.999,503.343,4116.758,4983.651,5,92.904,29.999,photo_li,405,108.014,Etching,71.234,51.688,Implantation,32007.126,99.669,899,157,Inspect,68,17,21,05-03-2022,13133,1313
251,NOLSM4541722,Oxidation,wet,1067.281623,40.33,0.196,112,Photo,13.475,15.091,19.995,199.276,90.001,500.854,4041.033,4968.513,4.893,93.915,30.006,photo_li,365,108.198,Etching,70.287,50.762,Implantation,31068.324,101.929,903,152,Inspect,46,17,22,05-03-2022,13222,1322
252,NOLSM4551723,Oxidation,dry,1030.270105,36.79,0.212,181,Photo,15.959,14.992,19.993,206.314,90,503.315,4084.04,4910.9,5.036,91.425,29.988,photo_li,436,107.279,Etching,71.399,51.216,Implantation,31559.957,102.648,894,157,Inspect,89,17,23,05-03-2022,13311,1331
253,NOLSM4561724,Oxidation,dry,1114.586608,33.47,0.199,118,Photo,18.878,15.087,19.997,203.115,90,500.658,4053.513,5008.979,5.017,93.546,30.006,photo_li,365,107.168,Etching,72.158,51.151,Implantation,32335.265,104.012,902,154,Inspect,121,17,24,05-03-2022,21111,2111
254,NOLSM4571725,Oxidation,dry,1096.411544,31.53,0.213,154,Photo,11.141,14.958,19.998,206.371,90.001,499.7,4063.728,5055.363,5.108,91.442,29.997,photo_li,405,107.437,Etching,71.972,50.805,Implantation,32053.209,103.613,899,159,Inspect,123,17,25,05-03-2022,21333,2133
255,NOLSM4581726,Oxidation,wet,1089.261667,30.59,0.204,168,Photo,17.163,14.873,19.999,194.586,89.999,499.974,4054.617,5028.105,4.936,91.057,30.01,photo_li,365,108.445,Etching,70.657,50.916,Implantation,31181.515,102.502,902,149,Inspect,77,17,26,05-03-2022,22133,2213
256,NOLSM4591727,Oxidation,dry,1142.00607,27.16,0.229,152,Photo,16.161,14.988,20.006,199.489,90,501.204,4063.703,5055.558,5.104,91.242,30,photo_li,436,108.301,Etching,71.628,51.567,Implantation,32463.943,103.367,900,153,Inspect,129,17,27,05-03-2022,22222,2222
257,NOLSM460181460,Oxidation,dry,870.9631757,36.74,0.188,195,Photo,16.96,14.94,20.002,205.266,90.001,505.266,4035.394,5131.66,5.119,93.795,30.001,photo_li,436,106.535,Etching,68.846,51.516,Implantation,32203.258,99.975,912,150,Inspect,48,18,28,06-03-2022,33111,3311
258,NOLSM461182461,Oxidation,dry,888.1603431,22.18,0.192,199,Photo,16.527,15.106,20.002,205.014,90.001,505.014,3952.67,5125.348,5.11,92.334,30.002,photo_li,436,107.851,Etching,69.097,50.559,Implantation,32196.245,101.397,913,152,Inspect,36,18,29,06-03-2022,33122,3312
259,NOLSM462183462,Oxidation,dry,888.128041,22.18,0.208,215,Photo,16.996,15.032,20.004,201.845,90,501.845,3972.34,5046.127,5.057,92.03,30.011,photo_li,436,107.31,Etching,70.485,51.093,Implantation,32199.428,102.733,915,154,Inspect,30,18,30,06-03-2022,33133,3313
260,NOLSM463184463,Oxidation,dry,885.4899051,22.18,0.2,32,Photo,16.867,14.97,19.996,200.993,90,500.993,4017.144,5024.813,5.031,91.466,29.997,photo_li,436,107.699,Etching,70.805,51.007,Implantation,32197.27,102.517,915,154,Inspect,15,18,31,06-03-2022,33111,3311
261,NOLSM464185464,Oxidation,dry,889.7791189,22.19,0.194,31,Photo,16.648,14.917,20.002,199.811,90,499.811,4072.913,4995.273,5.002,91.033,30.003,photo_li,436,107.293,Etching,71.258,51.175,Implantation,32198.727,102.939,912,154,Inspect,24,18,32,06-03-2022,33122,3312
262,NOLSM465186465,Oxidation,dry,882.3360488,22.18,0.217,31,Photo,16.398,15.039,20.003,199.192,89.999,499.192,4084.939,4979.8,4.967,90.947,29.999,photo_li,436,107.638,Etching,71.248,51.054,Implantation,32200.232,102.634,913,154,Inspect,33,18,33,06-03-2022,33133,3313
263,NOLSM466187466,Oxidation,dry,885.8521753,22.18,0.201,33,Photo,16.849,15.109,19.998,198.879,90,498.879,4045.078,4971.964,4.97,91.144,30.002,photo_li,436,108.359,Etching,71.248,51.153,Implantation,32202.697,102.883,917,154,Inspect,15,18,34,06-03-2022,33111,3311
264,NOLSM467188467,Oxidation,dry,880.3693945,22.2,0.204,33,Photo,17.185,15.018,19.998,199.287,90.002,499.287,4010.176,4982.181,4.985,90.663,29.998,photo_li,436,107.84,Etching,71.378,51.38,Implantation,32198.538,103.449,912,155,Inspect,9,18,35,06-03-2022,33122,3312
265,NOLSM468189468,Oxidation,dry,882.4097827,22.2,0.204,32,Photo,16.813,14.937,20.001,197.828,90,497.828,3956.57,4945.712,4.94,90.511,30.011,photo_li,436,107.46,Etching,71.36,50.989,Implantation,32200.315,102.473,908,154,Inspect,24,18,36,06-03-2022,33133,3313
266,NOLSM4691810469,Oxidation,dry,890.0527105,22.21,0.2,29,Photo,17.367,15.044,19.998,199.187,90.001,499.187,3983.746,4979.682,4.982,91.195,29.996,photo_li,436,108.197,Etching,71.225,51.355,Implantation,32200.324,103.388,912,155,Inspect,60,18,37,06-03-2022,33211,3321
267,NOLSM4701811470,Oxidation,dry,889.3029285,22.21,0.199,29,Photo,16.09,15.024,20.004,199.193,89.999,499.193,3983.859,4979.824,4.982,91.182,29.995,photo_li,436,108.275,Etching,71.244,51.355,Implantation,32201.779,103.387,913,155,Inspect,39,18,38,06-03-2022,33222,3322
268,NOLSM4711812471,Oxidation,dry,880.3531034,22.19,0.203,30,Photo,19.026,15.053,20.002,199.35,90.001,499.35,3986.997,4983.746,5.005,91.333,30.001,photo_li,436,108.825,Etching,71.221,51.61,Implantation,32300.362,104.024,916,156,Inspect,24,18,39,06-03-2022,33233,3323
269,NOLSM4721813472,Oxidation,dry,874.0830348,22.19,0.204,224,Photo,18.891,14.96,19.996,199.805,90,499.805,3996.109,4995.136,4.996,91.67,29.993,photo_li,436,108.883,Etching,71.371,51.651,Implantation,32299.266,104.129,917,156,Inspect,54,18,40,06-03-2022,33211,3321
270,NOLSM4731814473,Oxidation,dry,880.7318826,22.19,0.189,224,Photo,13.788,15.07,20,200.224,89.999,500.224,4004.471,5005.589,5.008,91.55,30.002,photo_li,436,108.837,Etching,71.321,51.618,Implantation,32300.914,104.045,917,156,Inspect,87,18,41,06-03-2022,33222,3322
271,NOLSM4741815474,Oxidation,dry,883.1827177,22.21,0.218,224,Photo,18.771,14.905,19.997,200.135,90,500.135,4002.704,5003.38,5.008,91.947,30.009,photo_li,436,109.502,Etching,71.375,51.608,Implantation,32300.515,104.019,922,156,Inspect,54,18,42,06-03-2022,33233,3323
272,NOLSM4751816475,Oxidation,dry,889.1366509,22.19,0.202,225,Photo,20.701,14.964,20,200.793,90,500.793,4015.856,5019.82,5.022,91.409,30.007,photo_li,436,108.991,Etching,71.47,51.881,Implantation,32297.604,104.702,917,157,Inspect,84,18,43,06-03-2022,33211,3321
273,NOLSM4761817476,Oxidation,dry,873.1333578,22.17,0.216,224,Photo,11.253,15.047,19.998,200.125,90,500.125,4002.491,5003.113,5.01,91.643,30.002,photo_li,436,108.858,Etching,71.346,51.626,Implantation,32299.646,104.065,917,156,Inspect,30,18,44,06-03-2022,33222,3322
274,NOLSM4771818477,Oxidation,dry,882.8744757,22.12,0.209,223,Photo,15.286,14.935,20.001,200.33,90.001,500.33,4006.608,5008.259,5.04,91.794,29.992,photo_li,436,108.846,Etching,71.284,51.506,Implantation,32300.541,103.766,917,156,Inspect,48,18,45,06-03-2022,33233,3323
275,NOLSM4781819478,Oxidation,dry,889.1419078,22.11,0.203,32,Photo,12.463,14.97,20.001,200.338,90,500.338,4006.751,5008.438,5.009,91.771,29.995,photo_li,436,108.913,Etching,71.345,51.632,Implantation,32300.313,104.08,917,156,Inspect,15,18,46,06-03-2022,33311,3331
276,NOLSM4791820479,Oxidation,dry,871.8593178,22.12,0.217,31,Photo,19.767,14.917,20.005,201.015,90,501.015,4020.293,5025.366,5.026,92.076,29.996,photo_li,436,109.409,Etching,71.322,51.699,Implantation,32300.421,104.248,920,156,Inspect,81,18,47,06-03-2022,33322,3332
277,NOLSM4801821480,Oxidation,dry,882.3368137,22.1,0.218,31,Photo,16.029,15.039,20.003,201.475,90,501.475,4029.509,5036.887,5.017,92.009,29.99,photo_li,436,109.337,Etching,71.411,51.862,Implantation,32300.241,104.656,919,157,Inspect,63,18,48,06-03-2022,33333,3333
278,NOLSM4811822481,Oxidation,dry,890.3149261,22.11,0.217,33,Photo,17.587,15.109,19.999,201.129,90,501.129,4022.588,5028.235,5.028,92.478,29.997,photo_li,436,110.06,Etching,71.383,51.928,Implantation,32296.539,104.819,925,157,Inspect,21,18,49,06-03-2022,33311,3331
279,NOLSM4821823482,Oxidation,dry,880.67809,22.1,0.219,33,Photo,16.445,15.018,19.997,202.083,90,502.083,4041.659,5052.074,5.058,91.649,30.001,photo_li,436,109.031,Etching,71.517,52.139,Implantation,32197.085,105.348,915,158,Inspect,15,18,50,06-03-2022,33322,3332
280,NOLSM4831824483,Oxidation,dry,873.9539139,22.1,0.216,32,Photo,17.257,15.055,19.997,200.38,90,500.38,4007.602,5009.502,5.008,92.17,29.989,photo_li,436,109.34,Etching,71.304,51.748,Implantation,32197.037,104.369,920,157,Inspect,45,18,51,06-03-2022,33333,3333
281,NOLSM4841825484,Oxidation,dry,884.1500837,22.1,0.216,29,Photo,17.28,14.954,19.998,200.637,90,500.637,4012.742,5015.927,5.009,91.839,30.005,photo_li,436,109.205,Etching,71.296,51.876,Implantation,32199.163,104.691,917,157,Inspect,57,18,52,06-03-2022,33311,3331
282,NOLSM4851826485,Oxidation,dry,878.1236034,22.09,0.217,29,Photo,17.19,14.968,20,200.409,89.999,500.409,4008.184,5010.23,5.016,91.864,29.99,photo_li,436,109.331,Etching,71.4,51.904,Implantation,32201.077,104.76,918,157,Inspect,12,18,53,06-03-2022,33322,3332
283,NOLSM4861827486,Oxidation,dry,882.3529794,22.1,0.217,224,Photo,16.27,15.041,20,200.856,90,500.856,4017.12,5021.4,5.021,91.992,29.996,photo_li,436,109.671,Etching,71.385,51.894,Implantation,32200.053,104.734,920,157,Inspect,108,18,54,06-03-2022,33333,3333
284,NOLSM460181,Oxidation,dry,870.1430801,22.15,0.188,195,Photo,16.96,14.94,20.002,205.266,90.001,505.266,4105.328,5131.66,5.119,93.795,29.99,photo_li,436,106.535,Etching,68.846,49.99,Implantation,32203.258,99.975,912,150,Inspect,48,18,1,06-03-2022,22311,2231
285,NOLSM461182,Oxidation,dry,870.7949893,22.18,0.192,199,Photo,16.527,15.106,20.002,205.014,90.001,505.014,4100.279,5125.348,5.11,92.334,30.017,photo_li,436,107.851,Etching,69.097,50.559,Implantation,32196.245,101.397,913,152,Inspect,36,18,2,06-03-2022,23111,2311
286,NOLSM462183,Oxidation,dry,871.0032293,22.18,0.208,215,Photo,16.996,15.032,20.004,201.845,90,501.845,4036.901,5046.127,5.057,92.03,29.994,photo_li,436,107.31,Etching,70.485,51.093,Implantation,32199.428,102.733,915,154,Inspect,30,18,3,06-03-2022,23222,2322
287,NOLSM463184,Oxidation,dry,871.4997532,22.18,0.211,218,Photo,16.867,14.954,19.996,200.993,90,500.993,4019.851,5024.813,5.031,91.466,30.006,photo_li,436,107.699,Etching,70.805,51.007,Implantation,32197.27,102.517,915,154,Inspect,15,18,4,06-03-2022,23333,2333
288,NOLSM464185,Oxidation,dry,871.6910602,22.19,0.216,223,Photo,16.648,15.029,20.002,199.811,90,499.811,3996.219,4995.273,5.002,91.033,30.01,photo_li,436,107.293,Etching,71.258,51.175,Implantation,32198.727,102.939,912,154,Inspect,24,18,5,06-03-2022,31133,3113
289,NOLSM465186,Oxidation,dry,872.0964096,22.18,0.216,223,Photo,16.398,14.952,20.003,199.192,89.999,499.192,3983.84,4979.8,4.967,90.947,30.007,photo_li,436,107.638,Etching,71.248,51.054,Implantation,32200.232,102.634,913,154,Inspect,33,18,6,06-03-2022,31222,3122
290,NOLSM466187,Oxidation,dry,871.8803254,22.18,0.216,223,Photo,16.849,14.967,19.998,198.879,90,498.879,3977.571,4971.964,4.97,91.144,30.004,photo_li,436,108.359,Etching,71.248,51.153,Implantation,32202.697,102.883,917,154,Inspect,15,18,7,06-03-2022,31311,3131
291,NOLSM467188,Oxidation,dry,872.3541455,22.2,0.217,224,Photo,17.185,15.077,19.998,199.287,90.002,499.287,3985.745,4982.181,4.985,90.663,29.997,photo_li,436,107.84,Etching,71.378,51.38,Implantation,32198.538,103.449,912,155,Inspect,9,18,8,06-03-2022,32111,3211
292,NOLSM468189,Oxidation,dry,872.4141968,22.2,0.217,224,Photo,16.813,14.937,20.001,197.828,90,497.828,3956.57,4945.712,4.94,90.511,29.99,photo_li,436,107.46,Etching,71.36,50.989,Implantation,32200.315,102.473,908,154,Inspect,24,18,9,06-03-2022,32222,3222
293,NOLSM4691810,Oxidation,dry,872.3553695,22.21,0.216,223,Photo,16.699,15.044,19.998,199.187,90.001,499.187,3983.746,4979.682,4.982,91.195,29.996,photo_li,436,108.197,Etching,71.225,51.355,Implantation,32200.324,103.388,912,155,Inspect,60,18,10,06-03-2022,33133,3313
294,NOLSM4701811,Oxidation,dry,872.5565675,22.21,0.216,223,Photo,16.056,15.024,20.004,199.193,89.999,499.193,3983.859,4979.824,4.982,91.182,29.995,photo_li,436,108.275,Etching,71.244,51.355,Implantation,32201.779,103.387,913,155,Inspect,39,18,11,06-03-2022,33222,3322
295,NOLSM4711812,Oxidation,dry,872.1836111,22.19,0.216,223,Photo,15.741,15.053,20.002,199.35,90.001,499.35,3986.997,4983.746,5.005,91.333,30.001,photo_li,436,108.825,Etching,71.221,51.61,Implantation,32300.362,104.024,916,156,Inspect,24,18,12,06-03-2022,33311,3331
296,NOLSM4721813,Oxidation,dry,872.4719636,22.19,0.217,224,Photo,16.839,14.96,19.996,199.805,90,499.805,3996.109,4995.136,4.996,91.67,29.993,photo_li,436,108.883,Etching,71.371,51.651,Implantation,32299.266,104.129,917,156,Inspect,54,18,13,06-03-2022,11111,1111
297,NOLSM4731814,Oxidation,dry,872.0302876,22.19,0.217,224,Photo,16.674,15.07,20,200.224,89.999,500.224,4004.471,5005.589,5.008,91.55,30.002,photo_li,436,108.837,Etching,71.321,51.618,Implantation,32300.914,104.045,917,156,Inspect,87,18,14,06-03-2022,11222,1122
298,NOLSM4741815,Oxidation,dry,872.5088053,22.21,0.217,224,Photo,16.548,14.905,19.997,200.135,90,500.135,4002.704,5003.38,5.008,91.947,30.009,photo_li,436,109.502,Etching,71.375,51.608,Implantation,32300.515,104.019,922,156,Inspect,21,18,15,06-03-2022,11333,1133
299,NOLSM4751816,Oxidation,dry,872.5657741,22.19,0.218,225,Photo,16.811,14.964,20,200.793,90,500.793,4015.856,5019.82,5.022,91.409,30.007,photo_li,436,108.991,Etching,71.47,51.881,Implantation,32297.604,104.702,917,157,Inspect,57,18,16,06-03-2022,12133,1213
300,NOLSM4761817,Oxidation,dry,872.3695463,22.17,0.217,224,Photo,15.987,15.047,19.998,200.125,90,500.125,4002.491,5003.113,5.01,91.643,30.002,photo_li,436,108.858,Etching,71.346,51.626,Implantation,32299.646,104.065,917,156,Inspect,15,18,17,06-03-2022,12311,1231
301,NOLSM4771818,Oxidation,dry,872.2527033,22.12,0.216,223,Photo,17.072,14.935,20.001,200.33,90.001,500.33,4006.608,5008.259,5.04,91.794,29.992,photo_li,436,108.846,Etching,71.284,51.506,Implantation,32300.541,103.766,917,156,Inspect,30,18,18,06-03-2022,13111,1311
302,NOLSM4781819,Oxidation,dry,871.975026,22.11,0.217,224,Photo,16.87,14.996,20.001,200.338,90,500.338,4006.751,5008.438,5.009,91.771,29.995,photo_li,436,108.913,Etching,71.345,51.632,Implantation,32300.313,104.08,917,156,Inspect,18,18,19,06-03-2022,13222,1322
303,NOLSM4791820,Oxidation,dry,871.3201245,22.12,0.217,224,Photo,17.148,14.973,20.005,201.015,90,501.015,4020.293,5025.366,5.026,92.076,29.996,photo_li,436,109.409,Etching,71.322,51.699,Implantation,32300.421,104.248,920,156,Inspect,81,18,20,06-03-2022,13333,1333
304,NOLSM4801821,Oxidation,dry,871.5156406,22.1,0.218,225,Photo,16.694,15.105,20.003,201.475,90,501.475,4029.509,5036.887,5.017,92.009,29.99,photo_li,436,109.337,Etching,71.411,51.862,Implantation,32300.241,104.656,919,157,Inspect,63,18,21,06-03-2022,21133,2113
305,NOLSM4811822,Oxidation,dry,871.5312982,22.11,0.217,224,Photo,16.661,14.898,19.999,201.129,90,501.129,4022.588,5028.235,5.028,92.478,29.997,photo_li,436,110.06,Etching,71.383,51.928,Implantation,32296.539,104.819,925,157,Inspect,21,18,22,06-03-2022,21222,2122
306,NOLSM4821823,Oxidation,dry,872.3137478,22.1,0.219,226,Photo,16.157,15.019,19.997,202.083,90,502.083,4041.659,5052.074,5.058,91.649,30.001,photo_li,436,109.031,Etching,71.517,52.139,Implantation,32197.085,105.348,915,158,Inspect,15,18,23,06-03-2022,21311,2131
307,NOLSM4831824,Oxidation,dry,871.1639191,22.1,0.216,223,Photo,17.257,15.055,19.997,200.38,90,500.38,4007.602,5009.502,5.008,92.17,29.989,photo_li,436,109.34,Etching,71.304,51.748,Implantation,32197.037,104.369,920,157,Inspect,45,18,24,06-03-2022,22111,2211
308,NOLSM4841825,Oxidation,dry,871.4705615,22.1,0.216,223,Photo,17.28,14.954,19.998,200.637,90,500.637,4012.742,5015.927,5.009,91.839,30.005,photo_li,436,109.205,Etching,71.296,51.876,Implantation,32199.163,104.691,917,157,Inspect,57,18,25,06-03-2022,22222,2222
309,NOLSM4851826,Oxidation,dry,871.7683051,22.09,0.217,224,Photo,17.19,14.968,20,200.409,89.999,500.409,4008.184,5010.23,5.016,91.864,29.99,photo_li,436,109.331,Etching,71.4,51.904,Implantation,32201.077,104.76,918,157,Inspect,12,18,26,06-03-2022,22333,2233
310,NOLSM4861827,Oxidation,dry,871.2876685,22.1,0.217,224,Photo,16.27,15.041,20,200.856,90,500.856,4017.12,5021.4,5.021,91.992,29.996,photo_li,436,109.671,Etching,71.385,51.894,Implantation,32200.053,104.734,920,157,Inspect,108,18,27,06-03-2022,23133,2313
311,NOLSM487191487,Oxidation,dry,872.9084188,22.1,0.219,226,Photo,16.624,15.066,19.999,204.42,90,501.343,4026.868,5033.585,5.017,91.995,29.994,photo_li,436,109.603,Etching,71.52,52.092,Implantation,32198.19,105.23,919,158,Inspect,51,19,28,07-03-2022,11111,1111
312,NOLSM488192488,Oxidation,dry,874.3980394,22.1,0.219,226,Photo,16.706,14.957,20.004,204.484,90,501.388,4027.76,5034.7,5.033,92.461,29.996,photo_li,436,109.975,Etching,71.539,52.101,Implantation,32199.503,105.251,924,158,Inspect,27,19,29,07-03-2022,11122,1112
313,NOLSM489193489,Oxidation,dry,874.5326523,22.11,0.219,226,Photo,15.742,15.039,19.998,203.145,90,501.048,4020.959,5026.199,5.028,92.843,30.002,photo_li,436,110.531,Etching,71.544,52.168,Implantation,32200.371,105.42,929,158,Inspect,51,19,30,07-03-2022,11133,1113
314,NOLSM490194490,Oxidation,dry,878.8474185,22.1,0.22,227,Photo,16.097,15.052,19.995,195.579,90,502.063,4041.264,5051.58,5.045,92.313,29.994,photo_li,436,110.704,Etching,71.695,52.326,Implantation,32202.607,105.815,929,159,Inspect,117,19,31,07-03-2022,11111,1111
315,NOLSM491195491,Oxidation,dry,873.965639,22.09,0.22,227,Photo,16.81,14.916,19.998,196.382,90.001,501.574,4031.484,5039.355,5.024,91.672,30.011,photo_li,436,109.671,Etching,71.608,52.369,Implantation,32201.147,105.922,921,159,Inspect,48,19,32,07-03-2022,11122,1112
316,NOLSM492196492,Oxidation,dry,877.5255474,22.08,0.219,226,Photo,16.806,14.863,19.999,196.599,90,500.921,4018.416,5023.02,4.998,91.667,30.005,photo_li,436,109.111,Etching,71.56,51.699,Implantation,32200.629,104.247,917,156,Inspect,57,19,33,07-03-2022,11133,1113
317,NOLSM493197493,Oxidation,dry,879.7308171,22.05,0.217,224,Photo,17.095,14.914,20,197.555,90.001,500.286,4005.711,5007.138,4.994,91.31,29.998,photo_li,436,108.36,Etching,71.397,51.598,Implantation,32201.877,103.995,911,156,Inspect,93,19,34,07-03-2022,11111,1111
318,NOLSM494198494,Oxidation,dry,879.2388316,22.03,0.217,224,Photo,16.473,14.978,19.996,197.98,90.001,499.381,3987.622,4984.527,4.985,91.497,30.003,photo_li,436,108.611,Etching,71.348,51.548,Implantation,32199.828,103.871,913,156,Inspect,75,19,35,07-03-2022,11122,1112
319,NOLSM495199495,Oxidation,dry,874.0390279,22.04,0.217,224,Photo,17.239,14.966,19.995,197.183,90,499.125,3982.507,4978.133,4.99,91.532,30.006,photo_li,436,108.924,Etching,71.033,51.571,Implantation,32202.069,103.928,914,156,Inspect,45,19,36,07-03-2022,11133,1113
320,NOLSM4961910496,Oxidation,dry,871.9816334,22.03,0.218,32,Photo,16.812,15.039,19.997,197.908,90,499.951,3999.023,4998.779,4.98,91.009,29.998,photo_li,436,108.303,Etching,71.137,51.729,Implantation,32200.463,104.322,910,156,Inspect,96,19,37,07-03-2022,11211,1121
321,NOLSM4971911497,Oxidation,dry,891.6218176,22.05,0.217,32,Photo,16.467,14.944,20.003,197.135,90,498.914,3978.273,4972.841,4.971,90.769,29.995,photo_li,436,108.042,Etching,71.234,51.523,Implantation,32201.824,103.807,908,156,Inspect,207,19,38,07-03-2022,11222,1122
322,NOLSM4981912498,Oxidation,dry,874.1766822,22.06,0.216,32,Photo,16.468,14.918,20.003,197.621,90,498.11,3962.196,4952.745,4.961,91.265,30.002,photo_li,436,108.924,Etching,71.249,51.41,Implantation,32198.962,103.525,915,155,Inspect,126,19,39,07-03-2022,11233,1123
323,NOLSM4991913499,Oxidation,dry,879.1363513,22.05,0.219,32,Photo,17.367,15.109,20.006,197.925,90,500.097,4001.938,5002.422,4.999,91.5,29.996,photo_li,436,109.182,Etching,71.169,51.932,Implantation,32203.539,104.83,916,157,Inspect,153,19,40,07-03-2022,11211,1121
324,NOLSM5001914500,Oxidation,dry,890.5991041,22.03,0.219,31,Photo,16.09,15.011,19.997,199.037,89.999,499.352,3987.046,4983.808,4.986,90.816,30.002,photo_li,436,108.335,Etching,71.153,51.904,Implantation,32200.183,104.759,911,157,Inspect,156,19,41,07-03-2022,11222,1122
325,NOLSM5011915501,Oxidation,dry,873.4751335,32.8,0.218,32,Photo,19.026,14.933,20,198.398,90.001,498.157,3963.138,4953.923,4.962,91.354,30.002,photo_li,436,109.471,Etching,71.196,51.51,Implantation,32195.713,103.775,919,156,Inspect,180,19,42,07-03-2022,11233,1123
326,NOLSM5021916502,Oxidation,dry,881.6198966,31.86,0.22,31,Photo,18.891,14.954,19.999,198.768,90,500.323,4006.461,5008.076,4.982,91.072,30.003,photo_li,436,109.929,Etching,71.174,52.03,Implantation,32200.514,105.075,920,158,Inspect,216,19,43,07-03-2022,11211,1121
327,NOLSM5031917503,Oxidation,dry,884.0772341,39.51,0.22,34,Photo,13.788,15.007,20.003,202.059,90,499.256,3985.114,4981.392,4.984,90.916,30.004,photo_li,436,109.747,Etching,71.287,52.084,Implantation,32201.656,105.21,920,158,Inspect,216,19,44,07-03-2022,11222,1122
328,NOLSM5041918504,Oxidation,dry,871.9225053,32.88,0.22,33,Photo,18.771,15.055,20.003,203.143,90,499.396,3987.912,4984.89,4.958,90.657,30.005,photo_li,436,109.093,Etching,71.17,51.986,Implantation,32199.318,104.965,915,157,Inspect,399,19,45,07-03-2022,11233,1123
329,NOLSM5051919505,Oxidation,dry,884.241487,38.11,0.213,32,Photo,20.701,15.11,20,202.415,89.999,502.855,4057.107,5071.384,5.06,92.945,29.996,photo_li,436,107.745,Etching,71.164,50.934,Implantation,32302.153,102.335,916,154,Inspect,18,19,46,07-03-2022,11311,1131
330,NOLSM5061920506,Oxidation,dry,872.3001329,39.93,0.213,220,Photo,11.253,15.069,20.001,202.79,90,503.441,4068.827,5086.034,5.103,93.683,29.994,photo_li,436,108.327,Etching,71.119,51.06,Implantation,32298.512,102.651,920,154,Inspect,75,19,47,07-03-2022,11322,1132
331,NOLSM5071921507,Oxidation,dry,874.9212205,35.63,0.2,220,Photo,15.286,15.029,20.001,202.86,90,504.091,4081.827,5102.283,5.122,93.935,30.01,photo_li,436,109.144,Etching,71.256,51.492,Implantation,32298.272,103.731,928,156,Inspect,57,19,48,07-03-2022,11333,1133
